,EOS
545,172.0
546,219.0
547,242.0
548,278.0
549,206.0
550,212.0
551,243.0
552,200.0
553,226.0
554,241.0
555,260.0
556,288.0
557,265.0
558,290.0
559,224.0
560,300.0
561,265.0
562,260.0
563,298.0
564,298.0
565,290.0
566,235.0
567,330.0
568,293.0
569,313.0
570,309.0
571,340.0
572,309.0
573,280.0
574,280.0
575,280.0
576,299.0
577,289.0
578,260.0
579,241.0
580,281.0
581,327.0
582,337.0
583,336.0
584,363.0
585,372.0
586,473.0
587,317.0
588,270.0
589,282.0
590,289.0
591,356.0
592,368.0
593,178.0
594,204.0
595,171.0
596,190.0
597,196.0
598,244.0
599,422.0
600,367.0
601,252.0
602,244.0
603,266.0
604,270.0
605,244.0
606,214.0
607,377.0
608,284.0
609,115.0
610,252.0
611,303.0
612,325.0
613,
614,390.0
615,253.0
616,
617,253.0
618,253.0
619,195.0
620,248.0
621,202.0
622,218.0
623,228.0
624,218.0
625,145.0
626,135.0
627,220.0
628,96.0
629,254.0
630,
631,
632,
633,
634,169.0
635,150.0
636,254.0
637,117.0
638,217.0
639,129.0
640,300.0
641,519.0
642,301.0
643,409.0
644,403.0
645,357.0
646,330.0
647,321.0
648,368.0
649,387.0
650,451.0
651,400.0
652,350.0
653,356.0
654,361.0
655,358.0
656,454.0
657,328.0
658,391.0
659,401.0
660,352.0
661,420.0
662,408.0
663,360.0
664,407.0
665,422.0
666,410.0
667,433.0
668,484.0
669,489.0
670,495.0
671,465.0
672,509.0
673,473.0
674,530.0
675,487.0
676,499.0
677,520.0
678,509.0
679,530.0
680,497.0
681,681.0
682,432.0
683,556.0
684,465.0
685,408.0
686,487.0
687,419.0
688,412.0
689,403.0
690,509.0
691,476.0
692,402.0
693,508.0
694,403.0
695,465.0
696,455.0
697,454.0
698,510.0
699,509.0
700,403.0
701,502.0
702,405.0
703,728.0
704,555.0
705,543.0
706,443.0
707,473.0
708,440.0
709,495.0
710,203.0
711,294.0
712,740.0
713,880.0
714,942.0
715,262.0
716,251.0
717,270.0
718,307.0
719,300.0
720,298.0
721,234.0
722,205.0
723,217.0
724,272.0
725,225.0
726,205.0
727,260.0
728,309.0
729,255.0
730,282.0
731,298.0
732,288.0
733,206.0
734,270.0
735,264.0
736,326.0
737,294.0
738,413.0
739,262.0
740,329.0
741,289.0
742,307.0
743,261.0
744,298.0
745,297.0
746,232.0
747,280.0
748,226.0
749,208.0
750,233.0
751,200.0
752,272.0
753,264.0
754,346.0
755,291.0
756,188.0
757,367.0
758,307.0
759,279.0
760,252.0
761,235.0
762,346.0
763,297.0
764,222.0
765,350.0
766,413.0
767,309.0
768,325.0
769,318.0
770,317.0
771,318.0
772,298.0
773,236.0
774,236.0
775,163.0
776,148.0
777,297.0
778,225.0
779,279.0
780,236.0
781,197.0
782,274.0
783,270.0
784,298.0
785,157.0
786,278.0
787,278.0
788,144.0
789,297.0
790,852.0
791,192.0
792,234.0
793,808.0
794,260.0
795,174.0
796,195.0
797,320.0
798,242.0
799,348.0
800,465.0
801,303.0
802,418.0
803,490.0
804,500.0
805,402.0
806,369.0
807,442.0
808,431.0
809,528.0
810,403.0
811,379.0
812,421.0
813,408.0
814,520.0
815,398.0
816,474.0
817,532.0
818,517.0
819,507.0
820,339.0
821,440.0
822,367.0
823,405.0
824,402.0
825,498.0
826,589.0
827,55.0
828,509.0
829,392.0
830,454.0
831,476.0
832,403.0
833,351.0
834,327.0
835,441.0
836,437.0
837,404.0
838,475.0
839,419.0
840,440.0
841,469.0
842,328.0
843,161.0
844,309.0
845,290.0
846,148.0
847,160.0
848,300.0
849,300.0
850,224.0
851,170.0
852,320.0
853,172.0
854,198.0
855,266.0
856,189.0
857,181.0
858,276.0
859,301.0
860,163.0
861,271.0
862,160.0
863,300.0
864,180.0
865,312.0
866,204.0
867,306.0
868,160.0
869,169.0
870,317.0
871,232.0
872,223.0
873,248.0
874,303.0
875,339.0
876,307.0
877,278.0
878,194.0
879,291.0
880,367.0
881,163.0
882,181.0
883,161.0
884,400.0
885,181.0
886,357.0
887,328.0
888,303.0
889,280.0
890,507.0
891,
892,318.0
893,
894,521.0
895,346.0
896,316.0
897,
898,360.0
899,455.0
900,430.0
901,422.0
902,510.0
903,445.0
904,498.0
905,498.0
906,487.0
907,422.0
908,333.0
909,357.0
910,361.0
911,357.0
912,476.0
913,422.0
914,430.0
915,357.0
916,420.0
917,371.0
918,473.0
919,451.0
920,352.0
921,351.0
922,532.0
923,327.0
924,
925,
926,390.0
927,281.0
928,577.0
929,495.0
930,462.0
931,357.0
932,588.0
933,402.0
934,368.0
935,409.0
936,401.0
937,444.0
938,434.0
939,290.0
940,440.0
941,260.0
942,300.0
943,300.0
944,400.0
945,282.0
946,337.0
947,261.0
948,220.0
949,250.0
950,243.0
951,187.0
952,220.0
953,80.0
954,175.0
955,216.0
956,209.0
957,209.0
958,733.0
959,566.0
960,578.0
961,61.0
962,160.0
963,254.0
964,280.0
965,215.0
966,187.0
967,272.0
968,326.0
969,260.0
970,261.0
971,279.0
972,270.0
